home,score,away,year
Netherlands,Match 49,USA,2022
Argentina,Match 50,Australia,2022
France,Match 52,Poland,2022
England,Match 51,Senegal,2022
Japan,Match 53,Croatia,2022
Brazil,Match 54,Korea Republic,2022
Morocco,Match 55,Spain,2022
Portugal,Match 56,Switzerland,2022
Winners Match 53,Match 58,Winners Match 54,2022
Winners Match 49,Match 57,Winners Match 50,2022
Winners Match 55,Match 60,Winners Match 56,2022
Winners Match 51,Match 59,Winners Match 52,2022
Winners Match 57,Match 61,Winners Match 58,2022
Winners Match 59,Match 62,Winners Match 60,2022
Winners Match 61,Match 64,Winners Match 62,2022
